gene	crak_gene	clade	subclade
MM.2017braw_104728268	MO_Syn_PH41509_02108		
MM.2017braw_135352059	CK_Syn_BL107_14565	IV	IVa
MM.2017braw_72854846	CK_Syn_MINOS11_00116	5.3	5.3
MM.2017braw_42887881	CK_Syn_WH8016_02647	I	Ib
MM.2017braw_145970245	CK_Syn_A15-44_00330	II	IIa
MM.2017braw_70604880	CK_Syn_MINOS11_02322	5.3	5.3
MM.2017braw_47641956	CK_Syn_KORDI-49_03390	WPC1	WPC1
MM.2017braw_63753244	CK_Syn_BL107_08284	IV	IVa
MM.2017braw_136299572	CK_Syn_WH7805_07251	VI	VIa
MM.2017braw_120621710	CK_Syn_BL107_15555	IV	IVa
MM.2017braw_48491545	CK_Syn_A15-127_02032	WPC1	WPC1
MM.2017braw_68948808	CK_Syn_SYN20_01147	I	Ib
MM.2017braw_18209212	CK_Syn_A15-44_02245	II	IIa
MM.2017braw_111882025	CK_Syn_RCC307_00721	5.3	5.3
MM.2017braw_109062572	CK_Syn_CC9616_01033	EnvC	EnvC
MM.2017braw_155554162	CK_Syn_A15-28_00741	III	IIIb
MM.2017braw_43306810	CK_Syn_RS9917_01342	VIII	VIII
MM.2017braw_129266587	CK_Syn_TAK9802_01997	II	IIa
MM.2017braw_112200843	CK_Syn_RCC307_02454	5.3	5.3
MM.2017braw_143655564	CK_Syn_WH7805_04851	VI	VIa
MM.2017braw_42877442	CK_Syn_CC9311_02872	I	Ia
MM.2017braw_124445900	CK_Syn_KORDI-49_03390	WPC1	WPC1
MM.2017braw_51520074	CK_Syn_A15-62_00360	II	IIc
MM.2017braw_68242877	CK_Syn_MINOS11_02322	5.3	5.3
MM.2017braw_8440691	CK_Syn_TAK9802_01997	II	IIa
MM.2017braw_103607523	CK_Syn_CC9605_02620	II	IIc
MM.2017braw_38843689	MO_Syn_HBP1109_01555		
MM.2017braw_104310796	CK_Syn_A15-127_01423	WPC1	WPC1
MM.2017braw_199581453	CK_Syn_PROS-U-1_02396	II	IIh
